review_text,punctuation_and_digit_removal,casefolding,sentiment
The product quality is amazing!!! I love it :),The product quality is amazing I love it ,the product quality is amazing i love it ,positive
Terrible service... I will NEVER buy again!!!,Terrible service I will NEVER buy again,terrible service i will never buy again,negative
"Pretty good (7/10), but could be better.",Pretty good  but could be better,pretty good  but could be better,neutral
Absolutely fantastic experience!!!,Absolutely fantastic experience,absolutely fantastic experience,positive
Not great :( had a lot of issues.,Not great  had a lot of issues,not great  had a lot of issues,negative
I am so happy with this purchase <3,I am so happy with this purchase ,i am so happy with this purchase ,positive
Worst decision ever. Waste of $100!!!,Worst decision ever Waste of ,worst decision ever waste of ,negative
It works fine; nothing extraordinary.,It works fine nothing extraordinary,it works fine nothing extraordinary,neutral
Exceeded my expectations: 10/10!!!,Exceeded my expectations ,exceeded my expectations ,positive
Disappointed... it broke after a week :(,Disappointed it broke after a week ,disappointed it broke after a week ,negative
